epoch,code,cls_0_corr,cls_0_total,cls_1_corr,cls_1_total
1,CODE1404,30,60,0,0
1,CODE1644,30,60,0,0
1,CODE1525,30,60,0,0
1,CODE1881,30,60,0,0
1,CODE365,30,60,0,0
1,CODE1648,30,60,0,0
1,CODE310,30,60,0,0
1,CODE1635,30,60,0,0
1,CODE1461,30,60,0,0
1,CODE1403,30,60,0,0
1,CODE1138,30,60,0,0
1,CODE1405,30,60,0,0
1,CODE1649,30,60,0,0
2,CODE1404,26,28,28,32
2,CODE1644,23,53,0,7
2,CODE1525,30,57,3,3
2,CODE1881,28,57,1,3
2,CODE365,25,50,5,10
2,CODE1648,30,57,3,3
2,CODE310,30,57,3,3
2,CODE1635,30,60,0,0
2,CODE1461,26,46,10,14
2,CODE1403,30,46,14,14
2,CODE1138,30,57,3,3
2,CODE1405,25,47,8,13
2,CODE1649,30,56,4,4
3,CODE1404,30,59,1,1
3,CODE1644,30,60,0,0
3,CODE1525,30,59,1,1
3,CODE1881,30,60,0,0
3,CODE365,30,60,0,0
3,CODE1648,30,60,0,0
3,CODE310,30,60,0,0
3,CODE1635,30,60,0,0
3,CODE1461,30,58,2,2
3,CODE1403,30,60,0,0
3,CODE1138,30,60,0,0
3,CODE1405,30,60,0,0
3,CODE1649,30,60,0,0
4,CODE1404,25,29,26,31
4,CODE1644,28,56,2,4
4,CODE1525,28,49,9,11
4,CODE1881,30,58,2,2
4,CODE365,30,60,0,0
4,CODE1648,30,51,9,9
4,CODE310,30,58,2,2
4,CODE1635,30,60,0,0
4,CODE1461,30,48,12,12
4,CODE1403,30,53,7,7
4,CODE1138,30,49,11,11
4,CODE1405,26,53,3,7
4,CODE1649,30,52,8,8
5,CODE1404,11,14,27,46
5,CODE1644,14,15,29,45
5,CODE1525,10,14,26,46
5,CODE1881,19,26,23,34
5,CODE365,20,33,17,27
5,CODE1648,29,46,13,14
5,CODE310,25,33,22,27
5,CODE1635,26,30,26,30
5,CODE1461,18,21,27,39
5,CODE1403,19,25,24,35
5,CODE1138,15,16,29,44
5,CODE1405,7,16,21,44
5,CODE1649,20,23,27,37
6,CODE1404,19,27,22,33
6,CODE1644,16,21,25,39
6,CODE1525,26,50,6,10
6,CODE1881,26,52,4,8
6,CODE365,27,52,5,8
6,CODE1648,30,54,6,6
6,CODE310,30,55,5,5
6,CODE1635,28,39,19,21
6,CODE1461,21,35,16,25
6,CODE1403,30,44,16,16
6,CODE1138,25,32,23,28
6,CODE1405,18,41,7,19
6,CODE1649,30,55,5,5
7,CODE1404,4,5,29,55
7,CODE1644,11,12,29,48
7,CODE1525,13,19,24,41
7,CODE1881,15,30,15,30
7,CODE365,5,13,22,47
7,CODE1648,10,14,26,46
7,CODE310,29,40,19,20
7,CODE1635,15,15,30,45
7,CODE1461,20,21,29,39
7,CODE1403,20,23,27,37
7,CODE1138,4,4,30,56
7,CODE1405,6,16,20,44
7,CODE1649,8,15,23,45
8,CODE1404,18,26,22,34
