epoch,code,cls_0_corr,cls_0_total,cls_1_corr,cls_1_total
1,CODE1404,30,60,0,0
1,CODE1644,30,60,0,0
1,CODE1525,30,60,0,0
1,CODE1881,30,60,0,0
1,CODE365,30,60,0,0
1,CODE1648,30,60,0,0
1,CODE310,30,60,0,0
1,CODE1635,30,60,0,0
1,CODE1461,30,60,0,0
1,CODE1403,30,60,0,0
1,CODE1138,30,60,0,0
1,CODE1405,30,60,0,0
1,CODE1649,30,60,0,0
2,CODE1404,0,0,30,60
2,CODE1644,0,0,30,60
2,CODE1525,0,0,30,60
2,CODE1881,0,0,30,60
2,CODE365,0,0,30,60
2,CODE1648,0,0,30,60
2,CODE310,0,0,30,60
2,CODE1635,0,0,30,60
2,CODE1461,0,0,30,60
2,CODE1403,0,0,30,60
2,CODE1138,0,0,30,60
2,CODE1405,0,0,30,60
2,CODE1649,0,0,30,60
3,CODE1404,30,60,0,0
3,CODE1644,30,60,0,0
3,CODE1525,30,60,0,0
3,CODE1881,30,60,0,0
3,CODE365,30,60,0,0
3,CODE1648,30,60,0,0
3,CODE310,30,60,0,0
3,CODE1635,30,60,0,0
3,CODE1461,30,60,0,0
3,CODE1403,30,60,0,0
3,CODE1138,30,60,0,0
3,CODE1405,30,60,0,0
3,CODE1649,30,60,0,0
4,CODE1404,0,0,30,60
4,CODE1644,0,0,30,60
4,CODE1525,0,0,30,60
4,CODE1881,0,0,30,60
4,CODE365,0,0,30,60
4,CODE1648,0,0,30,60
4,CODE310,0,0,30,60
4,CODE1635,0,0,30,60
4,CODE1461,0,0,30,60
4,CODE1403,0,0,30,60
4,CODE1138,0,0,30,60
4,CODE1405,0,0,30,60
4,CODE1649,0,0,30,60
5,CODE1404,0,0,30,60
5,CODE1644,0,0,30,60
5,CODE1525,0,0,30,60
5,CODE1881,0,0,30,60
5,CODE365,0,1,29,59
5,CODE1648,0,0,30,60
5,CODE310,0,0,30,60
5,CODE1635,0,0,30,60
5,CODE1461,0,0,30,60
5,CODE1403,0,0,30,60
5,CODE1138,0,0,30,60
5,CODE1405,0,0,30,60
5,CODE1649,0,0,30,60
6,CODE1404,0,0,30,60
6,CODE1644,0,0,30,60
6,CODE1525,0,0,30,60
6,CODE1881,0,0,30,60
6,CODE365,0,0,30,60
6,CODE1648,0,0,30,60
6,CODE310,0,0,30,60
6,CODE1635,0,0,30,60
6,CODE1461,0,0,30,60
6,CODE1403,0,0,30,60
6,CODE1138,0,0,30,60
6,CODE1405,0,0,30,60
6,CODE1649,0,0,30,60
7,CODE1404,0,0,30,60
7,CODE1644,0,0,30,60
7,CODE1525,0,0,30,60
7,CODE1881,1,4,27,56
7,CODE365,2,5,27,55
7,CODE1648,0,0,30,60
7,CODE310,0,0,30,60
7,CODE1635,4,4,30,56
7,CODE1461,1,1,30,59
7,CODE1403,0,0,30,60
7,CODE1138,0,0,30,60
7,CODE1405,0,1,29,59
7,CODE1649,7,21,16,39
8,CODE1404,30,60,0,0
