epoch,TP,FN,FP,TN
1,8,0,4,0
2,0,8,0,4
3,7,0,5,0
4,0,6,0,6
5,0,5,0,7
6,0,6,0,6
7,0,8,0,4
8,7,0,5,0
9,3,1,8,0
10,5,0,7,0
11,7,1,4,0
12,2,4,4,2
13,4,0,6,2
14,4,4,0,4
15,3,2,4,3
16,3,2,4,3
17,5,4,1,2
18,5,3,2,2
19,3,3,3,3
20,4,2,2,4
21,4,2,4,2
22,2,2,3,5
23,4,2,4,2
