epoch,TP,FN,FP,TN
1,2,2,1,7
2,2,5,2,3
3,5,2,2,3
4,4,3,1,4
5,1,1,4,6
6,3,2,2,5
7,3,3,1,5
8,4,2,2,4
9,5,1,0,6
10,5,2,0,5
11,1,2,2,7
12,6,1,3,2
13,4,3,1,4
14,6,3,2,1
15,5,2,1,4
16,4,2,0,6
17,5,1,1,5
18,3,4,0,5
19,5,1,0,6
20,5,2,2,3
21,1,2,0,9
22,4,3,3,2
23,5,2,1,4
