epoch,TP,FN,FP,TN
1,4,2,3,3
2,6,3,1,2
3,3,1,0,8
4,3,5,1,3
5,5,0,0,7
6,4,2,3,3
7,7,1,1,3
8,1,1,1,9
9,2,4,1,5
10,4,2,0,6
11,3,3,1,5
12,2,0,4,6
13,4,2,1,5
14,5,1,1,5
15,4,1,2,5
16,3,3,0,6
17,4,2,1,5
18,2,4,1,5
19,4,2,1,5
20,2,2,1,7
21,3,1,1,7
22,5,1,0,6
23,6,1,0,5
24,3,1,2,6
25,5,2,1,4
26,4,1,2,5
27,4,2,0,6
