epoch,code,cls_0_corr,cls_0_total,cls_1_corr,cls_1_total
1,CODE1404,7,11,26,49
1,CODE1644,10,10,30,50
1,CODE1525,21,24,27,36
1,CODE1881,29,48,11,12
1,CODE365,26,51,5,9
1,CODE1648,16,22,24,38
1,CODE310,19,40,9,20
1,CODE1635,15,19,26,41
1,CODE1461,19,26,23,34
1,CODE1403,7,7,30,53
1,CODE1138,21,24,27,36
1,CODE1405,9,13,26,47
1,CODE1649,15,16,29,44
2,CODE1404,12,17,25,43
2,CODE1644,20,20,30,40
2,CODE1525,21,23,28,37
2,CODE1881,28,49,9,11
2,CODE365,29,55,4,5
2,CODE1648,22,29,23,31
2,CODE310,25,46,9,14
2,CODE1635,17,24,23,36
2,CODE1461,26,35,21,25
2,CODE1403,11,11,30,49
2,CODE1138,29,32,27,28
2,CODE1405,11,19,22,41
2,CODE1649,22,25,27,35
3,CODE1404,7,11,26,49
3,CODE1644,10,10,30,50
3,CODE1525,18,20,28,40
3,CODE1881,26,40,16,20
3,CODE365,24,41,13,19
3,CODE1648,19,22,27,38
3,CODE310,19,30,19,30
3,CODE1635,6,11,25,49
3,CODE1461,21,26,25,34
3,CODE1403,6,6,30,54
3,CODE1138,27,28,29,32
3,CODE1405,7,11,26,49
3,CODE1649,12,13,29,47
4,CODE1404,14,18,26,42
4,CODE1644,19,20,29,40
4,CODE1525,22,24,28,36
4,CODE1881,26,41,15,19
4,CODE365,28,48,10,12
4,CODE1648,29,33,26,27
4,CODE310,22,36,16,24
4,CODE1635,17,28,19,32
4,CODE1461,23,32,21,28
4,CODE1403,15,18,27,42
4,CODE1138,29,32,27,28
4,CODE1405,10,18,22,42
4,CODE1649,19,23,26,37
5,CODE1404,7,10,27,50
5,CODE1644,11,11,30,49
5,CODE1525,8,10,28,50
5,CODE1881,22,35,17,25
5,CODE365,14,23,21,37
5,CODE1648,19,20,29,40
5,CODE310,16,23,23,37
5,CODE1635,4,7,27,53
5,CODE1461,16,17,29,43
5,CODE1403,6,6,30,54
5,CODE1138,24,24,30,36
5,CODE1405,6,8,28,52
5,CODE1649,8,8,30,52
6,CODE1404,19,24,25,36
6,CODE1644,19,21,28,39
6,CODE1525,28,30,28,30
6,CODE1881,27,46,11,14
6,CODE365,30,53,7,7
6,CODE1648,30,37,23,23
6,CODE310,29,45,14,15
6,CODE1635,27,44,13,16
6,CODE1461,25,38,17,22
6,CODE1403,20,25,25,35
6,CODE1138,28,33,25,27
6,CODE1405,26,38,18,22
6,CODE1649,25,32,23,28
7,CODE1404,17,21,26,39
7,CODE1644,18,20,28,40
7,CODE1525,22,24,28,36
7,CODE1881,24,37,17,23
7,CODE365,27,46,11,14
7,CODE1648,30,33,27,27
7,CODE310,22,37,15,23
7,CODE1635,22,36,16,24
7,CODE1461,25,35,20,25
7,CODE1403,16,20,26,40
7,CODE1138,27,29,28,31
7,CODE1405,22,27,25,33
7,CODE1649,21,24,27,36
8,CODE1404,11,13,28,47
8,CODE1644,13,13,30,47
8,CODE1525,5,7,28,53
8,CODE1881,14,24,20,36
8,CODE365,12,20,22,40
8,CODE1648,22,24,28,36
8,CODE310,16,23,23,37
8,CODE1635,9,11,28,49
8,CODE1461,17,18,29,42
8,CODE1403,7,8,29,52
8,CODE1138,20,20,30,40
8,CODE1405,5,5,30,55
8,CODE1649,8,9,29,51
9,CODE1404,8,10,28,50
9,CODE1644,12,12,30,48
9,CODE1525,2,4,28,56
9,CODE1881,7,17,20,43
9,CODE365,10,17,23,43
9,CODE1648,22,23,29,37
9,CODE310,14,21,23,39
9,CODE1635,6,10,26,50
9,CODE1461,16,16,30,44
9,CODE1403,10,11,29,49
9,CODE1138,23,23,30,37
9,CODE1405,5,5,30,55
9,CODE1649,7,8,29,52
10,CODE1404,14,17,27,43
10,CODE1644,16,19,27,41
10,CODE1525,9,11,28,49
10,CODE1881,20,31,19,29
10,CODE365,16,24,22,36
10,CODE1648,29,32,27,28
10,CODE310,19,30,19,30
10,CODE1635,18,29,19,31
10,CODE1461,24,30,24,30
10,CODE1403,17,23,24,37
10,CODE1138,24,27,27,33
10,CODE1405,16,20,26,40
10,CODE1649,10,12,28,48
11,CODE1404,15,18,27,42
11,CODE1644,15,18,27,42
11,CODE1525,9,11,28,49
11,CODE1881,19,30,19,30
11,CODE365,16,24,22,36
11,CODE1648,28,31,27,29
11,CODE310,18,26,22,34
11,CODE1635,15,26,19,34
11,CODE1461,22,26,26,34
11,CODE1403,18,24,24,36
11,CODE1138,23,23,30,37
11,CODE1405,12,14,28,46
11,CODE1649,9,11,28,49
12,CODE1404,18,22,26,38
12,CODE1644,17,21,26,39
12,CODE1525,12,14,28,46
12,CODE1881,22,34,18,26
12,CODE365,19,29,20,31
12,CODE1648,28,31,27,29
12,CODE310,19,29,20,31
12,CODE1635,17,33,14,27
12,CODE1461,24,29,25,31
12,CODE1403,18,25,23,35
12,CODE1138,24,25,29,35
12,CODE1405,12,13,29,47
12,CODE1649,14,16,28,44
13,CODE1404,16,20,26,40
13,CODE1644,16,20,26,40
13,CODE1525,16,18,28,42
13,CODE1881,22,32,20,28
13,CODE365,19,30,19,30
13,CODE1648,29,32,27,28
13,CODE310,20,29,21,31
13,CODE1635,18,32,16,28
13,CODE1461,25,29,26,31
13,CODE1403,18,24,24,36
13,CODE1138,24,27,27,33
13,CODE1405,12,14,28,46
13,CODE1649,14,16,28,44
14,CODE1404,17,21,26,39
14,CODE1644,17,21,26,39
14,CODE1525,13,15,28,45
14,CODE1881,20,30,20,30
14,CODE365,17,27,20,33
14,CODE1648,29,32,27,28
14,CODE310,20,29,21,31
14,CODE1635,17,29,18,31
14,CODE1461,25,29,26,31
14,CODE1403,17,22,25,38
14,CODE1138,24,27,27,33
14,CODE1405,12,14,28,46
14,CODE1649,14,16,28,44
15,CODE1404,17,21,26,39
15,CODE1644,15,19,26,41
15,CODE1525,11,13,28,47
15,CODE1881,20,30,20,30
15,CODE365,17,27,20,33
15,CODE1648,29,32,27,28
15,CODE310,19,28,21,32
15,CODE1635,14,28,16,32
15,CODE1461,25,30,25,30
15,CODE1403,18,23,25,37
15,CODE1138,24,27,27,33
15,CODE1405,12,14,28,46
15,CODE1649,11,13,28,47
16,CODE1404,18,22,26,38
16,CODE1644,18,22,26,38
16,CODE1525,18,20,28,40
16,CODE1881,20,30,20,30
16,CODE365,20,31,19,29
16,CODE1648,29,32,27,28
16,CODE310,20,30,20,30
16,CODE1635,19,34,15,26
16,CODE1461,25,31,24,29
16,CODE1403,19,25,24,35
16,CODE1138,24,27,27,33
16,CODE1405,17,19,28,41
16,CODE1649,17,19,28,41
17,CODE1404,18,22,26,38
17,CODE1644,17,21,26,39
17,CODE1525,15,17,28,43
17,CODE1881,20,30,20,30
17,CODE365,19,29,20,31
17,CODE1648,29,32,27,28
17,CODE310,20,30,20,30
17,CODE1635,18,33,15,27
17,CODE1461,25,30,25,30
17,CODE1403,18,24,24,36
17,CODE1138,24,27,27,33
17,CODE1405,12,14,28,46
17,CODE1649,14,16,28,44
18,CODE1404,17,20,27,40
18,CODE1644,15,19,26,41
18,CODE1525,8,10,28,50
18,CODE1881,17,26,21,34
18,CODE365,13,20,23,40
18,CODE1648,28,31,27,29
18,CODE310,18,27,21,33
18,CODE1635,13,26,17,34
18,CODE1461,23,27,26,33
18,CODE1403,17,22,25,38
18,CODE1138,23,24,29,36
18,CODE1405,12,15,27,45
18,CODE1649,10,12,28,48
19,CODE1404,18,21,27,39
19,CODE1644,16,20,26,40
19,CODE1525,14,16,28,44
19,CODE1881,18,28,20,32
19,CODE365,18,28,20,32
19,CODE1648,29,32,27,28
19,CODE310,20,29,21,31
19,CODE1635,14,28,16,32
19,CODE1461,25,30,25,30
19,CODE1403,17,23,24,37
19,CODE1138,24,27,27,33
19,CODE1405,12,14,28,46
19,CODE1649,14,16,28,44
20,CODE1404,17,21,26,39
20,CODE1644,17,21,26,39
20,CODE1525,14,16,28,44
20,CODE1881,18,28,20,32
20,CODE365,17,27,20,33
20,CODE1648,29,32,27,28
20,CODE310,20,29,21,31
20,CODE1635,14,27,17,33
20,CODE1461,25,30,25,30
20,CODE1403,18,24,24,36
20,CODE1138,24,27,27,33
20,CODE1405,12,14,28,46
20,CODE1649,13,15,28,45
21,CODE1404,17,20,27,40
21,CODE1644,16,20,26,40
21,CODE1525,10,12,28,48
21,CODE1881,18,28,20,32
21,CODE365,17,26,21,34
21,CODE1648,28,31,27,29
21,CODE310,19,28,21,32
21,CODE1635,13,26,17,34
21,CODE1461,24,29,25,31
21,CODE1403,18,23,25,37
21,CODE1138,23,25,28,35
21,CODE1405,12,15,27,45
21,CODE1649,12,14,28,46
22,CODE1404,17,20,27,40
22,CODE1644,16,20,26,40
22,CODE1525,10,12,28,48
22,CODE1881,18,28,20,32
22,CODE365,17,26,21,34
22,CODE1648,28,31,27,29
22,CODE310,19,28,21,32
22,CODE1635,13,26,17,34
22,CODE1461,24,29,25,31
22,CODE1403,18,23,25,37
22,CODE1138,24,26,28,34
22,CODE1405,12,15,27,45
22,CODE1649,12,14,28,46
23,CODE1404,17,20,27,40
23,CODE1644,16,20,26,40
23,CODE1525,10,12,28,48
23,CODE1881,18,28,20,32
23,CODE365,16,25,21,35
23,CODE1648,28,31,27,29
23,CODE310,19,28,21,32
23,CODE1635,14,27,17,33
23,CODE1461,24,29,25,31
23,CODE1403,18,23,25,37
23,CODE1138,24,26,28,34
23,CODE1405,12,15,27,45
23,CODE1649,12,14,28,46
24,CODE1404,17,20,27,40
24,CODE1644,16,20,26,40
24,CODE1525,9,11,28,49
24,CODE1881,18,27,21,33
24,CODE365,16,25,21,35
24,CODE1648,28,31,27,29
24,CODE310,19,28,21,32
24,CODE1635,13,26,17,34
