epoch,code,cls_0_corr,cls_0_total,cls_1_corr,cls_1_total
1,CODE1405,29,33,26,27
1,CODE1649,28,29,29,31
1,CODE1404,5,6,29,54
1,CODE1138,29,29,30,31
1,CODE1525,8,8,30,52
1,CODE1635,11,18,23,42
1,CODE1881,15,20,25,40
1,CODE1644,5,5,30,55
1,CODE1403,16,20,26,40
1,CODE365,5,7,28,53
1,CODE1648,30,30,30,30
1,CODE310,12,19,23,41
1,CODE1461,15,19,26,41
2,CODE1405,30,49,11,11
2,CODE1649,29,50,9,10
2,CODE1404,25,28,27,32
2,CODE1138,30,53,7,7
2,CODE1525,30,38,22,22
2,CODE1635,30,42,18,18
2,CODE1881,27,46,11,14
2,CODE1644,25,55,0,5
2,CODE1403,29,40,19,20
2,CODE365,30,53,7,7
2,CODE1648,30,47,13,13
2,CODE310,30,56,4,4
2,CODE1461,30,58,2,2
