epoch,code,cls_0_corr,cls_0_total,cls_1_corr,cls_1_total
1,CODE1461,48,60,48,60
1,CODE1881,49,60,49,60
1,CODE310,51,60,51,60
1,CODE1404,42,60,42,60
1,CODE1648,40,60,40,60
1,CODE1525,39,60,39,60
1,CODE1403,40,60,40,60
1,CODE1635,38,60,38,60
1,CODE1649,40,60,40,60
1,CODE365,34,60,34,60
1,CODE1405,36,60,36,60
1,CODE1138,55,60,55,60
1,CODE1644,35,60,35,60
2,CODE1461,30,60,30,60
2,CODE1881,30,60,30,60
2,CODE310,46,60,46,60
2,CODE1404,37,60,37,60
2,CODE1648,30,60,30,60
2,CODE1525,32,60,32,60
2,CODE1403,34,60,34,60
2,CODE1635,32,60,32,60
2,CODE1649,34,60,34,60
2,CODE365,30,60,30,60
2,CODE1405,33,60,33,60
2,CODE1138,30,60,30,60
2,CODE1644,35,60,35,60
3,CODE1461,32,60,32,60
3,CODE1881,42,60,42,60
3,CODE310,53,60,53,60
3,CODE1404,31,60,31,60
3,CODE1648,30,60,30,60
3,CODE1525,44,60,44,60
3,CODE1403,42,60,42,60
3,CODE1635,32,60,32,60
3,CODE1649,35,60,35,60
3,CODE365,32,60,32,60
3,CODE1405,33,60,33,60
3,CODE1138,34,60,34,60
3,CODE1644,37,60,37,60
4,CODE1461,54,60,54,60
4,CODE1881,42,60,42,60
4,CODE310,48,60,48,60
4,CODE1404,57,60,57,60
4,CODE1648,54,60,54,60
4,CODE1525,53,60,53,60
4,CODE1403,49,60,49,60
4,CODE1635,48,60,48,60
4,CODE1649,53,60,53,60
4,CODE365,38,60,38,60
4,CODE1405,48,60,48,60
4,CODE1138,53,60,53,60
4,CODE1644,39,60,39,60
5,CODE1461,34,60,34,60
5,CODE1881,44,60,44,60
5,CODE310,53,60,53,60
5,CODE1404,42,60,42,60
5,CODE1648,50,60,50,60
5,CODE1525,42,60,42,60
5,CODE1403,47,60,47,60
5,CODE1635,36,60,36,60
5,CODE1649,40,60,40,60
5,CODE365,38,60,38,60
5,CODE1405,48,60,48,60
5,CODE1138,56,60,56,60
5,CODE1644,45,60,45,60
6,CODE1461,57,60,57,60
6,CODE1881,42,60,42,60
6,CODE310,52,60,52,60
6,CODE1404,58,60,58,60
6,CODE1648,59,60,59,60
6,CODE1525,52,60,52,60
6,CODE1403,48,60,48,60
6,CODE1635,55,60,55,60
6,CODE1649,46,60,46,60
6,CODE365,32,60,32,60
6,CODE1405,53,60,53,60
6,CODE1138,57,60,57,60
6,CODE1644,48,60,48,60
7,CODE1461,48,60,48,60
7,CODE1881,50,60,50,60
7,CODE310,56,60,56,60
7,CODE1404,53,60,53,60
7,CODE1648,59,60,59,60
7,CODE1525,50,60,50,60
7,CODE1403,49,60,49,60
7,CODE1635,42,60,42,60
7,CODE1649,52,60,52,60
7,CODE365,35,60,35,60
7,CODE1405,51,60,51,60
7,CODE1138,56,60,56,60
7,CODE1644,46,60,46,60
8,CODE1461,40,60,40,60
8,CODE1881,49,60,49,60
8,CODE310,42,60,42,60
8,CODE1404,35,60,35,60
8,CODE1648,34,60,34,60
8,CODE1525,33,60,33,60
8,CODE1403,38,60,38,60
8,CODE1635,34,60,34,60
8,CODE1649,32,60,32,60
8,CODE365,30,60,30,60
8,CODE1405,33,60,33,60
8,CODE1138,30,60,30,60
8,CODE1644,39,60,39,60
9,CODE1461,46,60,46,60
9,CODE1881,45,60,45,60
9,CODE310,55,60,55,60
9,CODE1404,47,60,47,60
9,CODE1648,51,60,51,60
9,CODE1525,37,60,37,60
9,CODE1403,42,60,42,60
9,CODE1635,40,60,40,60
9,CODE1649,47,60,47,60
9,CODE365,33,60,33,60
9,CODE1405,38,60,38,60
9,CODE1138,54,60,54,60
9,CODE1644,44,60,44,60
10,CODE1461,53,60,53,60
10,CODE1881,44,60,44,60
10,CODE310,54,60,54,60
10,CODE1404,54,60,54,60
10,CODE1648,58,60,58,60
10,CODE1525,51,60,51,60
10,CODE1403,50,60,50,60
10,CODE1635,45,60,45,60
10,CODE1649,55,60,55,60
10,CODE365,39,60,39,60
10,CODE1405,49,60,49,60
10,CODE1138,57,60,57,60
10,CODE1644,48,60,48,60
11,CODE1461,56,60,56,60
11,CODE1881,44,60,44,60
11,CODE310,53,60,53,60
11,CODE1404,57,60,57,60
11,CODE1648,59,60,59,60
11,CODE1525,52,60,52,60
11,CODE1403,50,60,50,60
11,CODE1635,48,60,48,60
11,CODE1649,56,60,56,60
11,CODE365,38,60,38,60
11,CODE1405,50,60,50,60
11,CODE1138,56,60,56,60
11,CODE1644,46,60,46,60
12,CODE1461,55,60,55,60
12,CODE1881,45,60,45,60
12,CODE310,54,60,54,60
12,CODE1404,57,60,57,60
12,CODE1648,59,60,59,60
12,CODE1525,52,60,52,60
12,CODE1403,50,60,50,60
12,CODE1635,49,60,49,60
12,CODE1649,55,60,55,60
12,CODE365,35,60,35,60
12,CODE1405,49,60,49,60
12,CODE1138,57,60,57,60
12,CODE1644,48,60,48,60
13,CODE1461,58,60,58,60
13,CODE1881,45,60,45,60
13,CODE310,53,60,53,60
13,CODE1404,57,60,57,60
13,CODE1648,58,60,58,60
13,CODE1525,52,60,52,60
13,CODE1403,50,60,50,60
13,CODE1635,49,60,49,60
13,CODE1649,56,60,56,60
13,CODE365,36,60,36,60
13,CODE1405,51,60,51,60
13,CODE1138,57,60,57,60
13,CODE1644,48,60,48,60
14,CODE1461,58,60,58,60
14,CODE1881,45,60,45,60
14,CODE310,53,60,53,60
14,CODE1404,57,60,57,60
14,CODE1648,58,60,58,60
14,CODE1525,52,60,52,60
14,CODE1403,50,60,50,60
14,CODE1635,49,60,49,60
14,CODE1649,56,60,56,60
14,CODE365,34,60,34,60
14,CODE1405,51,60,51,60
14,CODE1138,57,60,57,60
14,CODE1644,49,60,49,60
15,CODE1461,58,60,58,60
15,CODE1881,45,60,45,60
15,CODE310,53,60,53,60
15,CODE1404,57,60,57,60
15,CODE1648,58,60,58,60
15,CODE1525,52,60,52,60
15,CODE1403,50,60,50,60
15,CODE1635,49,60,49,60
15,CODE1649,55,60,55,60
15,CODE365,35,60,35,60
15,CODE1405,50,60,50,60
15,CODE1138,57,60,57,60
15,CODE1644,48,60,48,60
16,CODE1461,58,60,58,60
16,CODE1881,45,60,45,60
16,CODE310,54,60,54,60
16,CODE1404,57,60,57,60
16,CODE1648,58,60,58,60
16,CODE1525,53,60,53,60
16,CODE1403,50,60,50,60
16,CODE1635,49,60,49,60
16,CODE1649,55,60,55,60
16,CODE365,35,60,35,60
16,CODE1405,51,60,51,60
16,CODE1138,56,60,56,60
16,CODE1644,48,60,48,60
17,CODE1461,58,60,58,60
17,CODE1881,45,60,45,60
17,CODE310,52,60,52,60
17,CODE1404,57,60,57,60
17,CODE1648,58,60,58,60
17,CODE1525,52,60,52,60
17,CODE1403,50,60,50,60
17,CODE1635,49,60,49,60
17,CODE1649,56,60,56,60
17,CODE365,35,60,35,60
17,CODE1405,53,60,53,60
17,CODE1138,55,60,55,60
17,CODE1644,48,60,48,60
18,CODE1461,58,60,58,60
18,CODE1881,45,60,45,60
18,CODE310,54,60,54,60
18,CODE1404,57,60,57,60
18,CODE1648,58,60,58,60
18,CODE1525,53,60,53,60
18,CODE1403,50,60,50,60
18,CODE1635,49,60,49,60
18,CODE1649,54,60,54,60
18,CODE365,34,60,34,60
18,CODE1405,51,60,51,60
18,CODE1138,56,60,56,60
18,CODE1644,50,60,50,60
19,CODE1461,58,60,58,60
19,CODE1881,45,60,45,60
19,CODE310,54,60,54,60
19,CODE1404,57,60,57,60
19,CODE1648,58,60,58,60
19,CODE1525,53,60,53,60
19,CODE1403,50,60,50,60
19,CODE1635,49,60,49,60
19,CODE1649,55,60,55,60
19,CODE365,34,60,34,60
19,CODE1405,52,60,52,60
19,CODE1138,56,60,56,60
19,CODE1644,50,60,50,60
20,CODE1461,59,60,59,60
20,CODE1881,45,60,45,60
20,CODE310,53,60,53,60
20,CODE1404,57,60,57,60
20,CODE1648,58,60,58,60
20,CODE1525,52,60,52,60
20,CODE1403,50,60,50,60
20,CODE1635,51,60,51,60
20,CODE1649,55,60,55,60
20,CODE365,35,60,35,60
20,CODE1405,53,60,53,60
20,CODE1138,55,60,55,60
20,CODE1644,50,60,50,60
21,CODE1461,59,60,59,60
21,CODE1881,45,60,45,60
21,CODE310,54,60,54,60
21,CODE1404,57,60,57,60
21,CODE1648,58,60,58,60
21,CODE1525,52,60,52,60
21,CODE1403,50,60,50,60
21,CODE1635,51,60,51,60
21,CODE1649,55,60,55,60
21,CODE365,35,60,35,60
21,CODE1405,52,60,52,60
21,CODE1138,56,60,56,60
21,CODE1644,50,60,50,60
22,CODE1461,58,60,58,60
22,CODE1881,45,60,45,60
22,CODE310,54,60,54,60
22,CODE1404,57,60,57,60
22,CODE1648,58,60,58,60
22,CODE1525,53,60,53,60
22,CODE1403,50,60,50,60
22,CODE1635,51,60,51,60
22,CODE1649,55,60,55,60
22,CODE365,34,60,34,60
22,CODE1405,52,60,52,60
22,CODE1138,56,60,56,60
22,CODE1644,51,60,51,60
23,CODE1461,58,60,58,60
23,CODE1881,45,60,45,60
23,CODE310,54,60,54,60
23,CODE1404,57,60,57,60
23,CODE1648,58,60,58,60
23,CODE1525,53,60,53,60
23,CODE1403,50,60,50,60
23,CODE1635,51,60,51,60
23,CODE1649,55,60,55,60
23,CODE365,34,60,34,60
23,CODE1405,52,60,52,60
23,CODE1138,56,60,56,60
23,CODE1644,51,60,51,60
24,CODE1461,58,60,58,60
24,CODE1881,45,60,45,60
24,CODE310,54,60,54,60
24,CODE1404,57,60,57,60
24,CODE1648,58,60,58,60
24,CODE1525,53,60,53,60
24,CODE1403,50,60,50,60
24,CODE1635,51,60,51,60
24,CODE1649,55,60,55,60
24,CODE365,34,60,34,60
24,CODE1405,52,60,52,60
24,CODE1138,56,60,56,60
24,CODE1644,51,60,51,60
