epoch,TP,FN,FP,TN
1,2,4,0,6
2,1,5,0,6
3,1,3,0,8
4,9,0,1,2
5,4,3,0,5
6,6,0,2,4
7,5,2,0,5
8,2,5,0,5
9,5,3,0,4
10,4,0,3,5
11,5,1,1,5
12,4,1,0,7
13,5,0,2,5
14,8,0,0,4
15,7,1,0,4
16,6,0,0,6
17,5,2,0,5
18,3,2,0,7
19,6,0,1,5
20,6,1,0,5
21,4,0,1,7
22,4,2,1,5
23,6,0,1,5
24,4,1,1,6
