epoch,TP,FN,FP,TN
1,4,2,2,4
2,5,0,2,5
3,2,1,2,7
4,5,3,1,3
5,6,1,0,5
6,4,2,1,5
7,6,1,1,4
8,4,3,2,3
9,6,0,2,4
10,5,0,1,6
11,6,1,1,4
12,3,3,1,5
13,4,4,0,4
14,5,4,0,3
15,5,1,0,6
16,5,3,1,3
17,3,2,0,7
18,4,1,1,6
19,5,3,0,4
20,2,1,0,9
21,3,3,1,5
22,4,2,0,6
