epoch,code,cls_0_corr,cls_0_total,cls_1_corr,cls_1_total
1,CODE1404,25,28,27,32
1,CODE1644,21,26,25,34
1,CODE1525,29,43,16,17
1,CODE1881,24,33,21,27
1,CODE365,8,10,28,50
1,CODE1648,29,32,27,28
1,CODE310,27,42,15,18
1,CODE1635,30,49,11,11
1,CODE1461,30,41,19,19
1,CODE1403,25,36,19,24
1,CODE1138,30,37,23,23
1,CODE1405,8,14,24,46
1,CODE1649,30,36,24,24
2,CODE1404,29,42,17,18
2,CODE1644,30,57,3,3
2,CODE1525,30,54,6,6
2,CODE1881,26,40,16,20
2,CODE365,23,36,17,24
2,CODE1648,30,41,19,19
2,CODE310,30,58,2,2
2,CODE1635,30,59,1,1
2,CODE1461,28,50,8,10
2,CODE1403,30,44,16,16
2,CODE1138,30,56,4,4
2,CODE1405,16,38,8,22
2,CODE1649,29,37,22,23
3,CODE1404,10,11,29,49
3,CODE1644,14,14,30,46
3,CODE1525,12,13,29,47
3,CODE1881,8,8,30,52
3,CODE365,9,13,26,47
3,CODE1648,22,22,30,38
3,CODE310,21,30,21,30
3,CODE1635,12,12,30,48
3,CODE1461,17,18,29,42
3,CODE1403,22,26,26,34
3,CODE1138,27,28,29,32
3,CODE1405,7,7,30,53
3,CODE1649,8,8,30,52
4,CODE1404,22,25,27,35
4,CODE1644,24,30,24,30
4,CODE1525,21,24,27,36
4,CODE1881,11,14,27,46
4,CODE365,8,10,28,50
4,CODE1648,29,33,26,27
4,CODE310,29,53,6,7
4,CODE1635,30,45,15,15
4,CODE1461,25,33,22,27
4,CODE1403,29,40,19,20
4,CODE1138,30,33,27,27
4,CODE1405,8,11,27,49
4,CODE1649,22,22,30,38
5,CODE1404,18,19,29,41
5,CODE1644,16,16,30,44
5,CODE1525,16,17,29,43
5,CODE1881,15,15,30,45
5,CODE365,7,8,29,52
5,CODE1648,28,29,29,31
5,CODE310,19,28,21,32
5,CODE1635,26,27,29,33
5,CODE1461,21,22,29,38
5,CODE1403,20,24,26,36
5,CODE1138,27,27,30,33
5,CODE1405,7,7,30,53
